Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Centro Anziani Sandro Pertini",41.8786697387695,12.5654458999634,"Via degli Aceri 57",Roma,Pubblici
"Via Maremmana Inferiore",41.9664878845215,12.7552003860474,"Via Maremmana Inferiore",Tivoli,Pubblici
"Centro Anziani Frassini",41.8835334777832,12.5681400299072,"via dei frassini 97",Roma,Pubblici
"Comune ",41.8826751708984,12.982741355896,"Piazza Augusto Baccelli","San Vito Romano",Pubblici
"Piazza Cesare Battisti",42.0232296,12.8067232999999,"Piazza Cesare Battisti","Marcellina ",Pubblici
"Istituto ""Giovanni XXIII""",41.8965377807617,12.5916795730591,"Via Tor Sapienza, 160",Roma,Pubblici
"Istituto ""Mattei""",42.020809173584,12.1440916061401,"Via Paolo Borsellino snc",Cerveteri,Pubblici
"Istituto ""Majorana""",41.7886085510254,12.4437923431396,"Via Carlo Avolio, 111",Roma,Pubblici
"Biblioteca di Storia Moderna e Contemporanea",41.8940734863281,12.478120803833,"via Michelangelo Caetani 32",Roma,Pubblici
"Biblioteca di Storia Moderna e Contemporanea",41.8940505981445,12.4784717559814,"via Michelangelo Caetani 32",Roma,Pubblici
"Biblioteca di Storia Moderna e Contemporanea",41.8941421508789,12.4782123565674,"via Michelangelo Caetani 32",Roma,Pubblici
"Istituto "" Quarenghi""  (ex Volta)",41.9246520996094,13.0938491821289,"Via di Villa Scarpellini",Subiaco,Pubblici
"Istituto Majorana - Succursale",41.7837867736816,12.4402074813843,"Via Salvatore Lorizzo, 71",Roma,Pubblici
"Istituto ""Quarenghi""",41.9247779846191,13.0936622619629,"Via di Villa Scarpellini",Subiaco,Pubblici
"c.s.a. Pietro Marinelli (frazione Quadroni)",42.1328887939453,12.1209049224854,"via latina 45",Manziana,Pubblici
"Istituto ""Copernico"" ",41.666015625,12.4997806549072,"Via Copernico, 3 ",Pomezia,Pubblici
"Istituto ""Montessori""(succursale)",41.9314079284668,12.5151844024658,"Via Casperia, 21",Roma,Pubblici
"Istituto ""Stendhal""",41.9178733825684,12.415135383606,"Via Federico Borromeo, 67",Roma,Pubblici
Comune,41.9204406738281,12.8747291564941,"Largo Sturzo, 6","San Gregorio da Sassola",Pubblici
Municipio,41.9976615905762,12.620509147644,"Piazza Padre Pio","Fonte Nuova",Pubblici
"Istituto ""Pilo Albertelli""",41.8985557556152,12.4989004135132,"Via Daniele Manin, 72",Roma,Pubblici
"Scuola Maroncelli",41.7732734680176,12.6666450500488,"ViaPietro Maroncelli. 1",Marino,Pubblici
"Scuola Ippolito Nievo",41.7798919677734,12.6075859069824,"Via Antonio Fantinoli, 1",Marino,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.8701210021973,12.3817148208618,"Via di Brava 99",Roma,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.876556575629,12.3795275411045,"Via di Brava 99",Roma,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.8765594,12.3795262,"Via di Brava 99",Roma,Pubblici
"Istituto ""Pascal""",41.6594696044922,12.4989719390869,"Via Pietro Nenni, 48 ",Pomezia,Pubblici
"Istituto ""Peano""",42.0651245117188,12.6256647109985,"Via della Fonte, 9",Monterotondo,Pubblici
"Centro Anziani",41.9258728027344,13.0914907455444,"Piazza Ulderico Pelliccia 1",Subiaco,Pubblici
Comune,41.8197995326131,12.8006148934364,"Piazzale dell'autonomia, 1","San Cesareo",Pubblici
"Istituto "" Augusto""",41.8782625,12.5197888,"Via Gela, 14",Roma,Pubblici
"Istituto Newton",41.8965034484863,12.4977264404297,"Via dell'Olmata 4",Roma,Pubblici
"Istituto ""Quarenghi"" (ex Braschi)",41.9246139526367,13.0937061309814,"Via di Villa Scarpellini",Subiaco,Pubblici
"Centro per l'impiego",41.9550933837891,12.8058185577393,"Via Empolitania 236",Tivoli,Pubblici
"Convento di San Michele a Montecelio",42.019157409668,12.7433032989502,"Via XXV Aprile","Guidonia Montecelio",Pubblici
"Scuola Diaz",42.1438179016113,12.5065965652466,"Piazza Armando Diaz 24",Morlupo,Pubblici
Municipio,42.0125999450684,12.8378944396973,"Via Due Giugno n. 1","San Polo dei Cavalieri",Pubblici
Comune,42.0503807067871,12.8976850509644,"via aldo moro",Roccagiovine,Pubblici
"Tribunale di Velletri",41.7000503540039,12.6860513687134,"Piazza Giovanni Falcone",Velletri,Pubblici
Comune,41.4586296081543,12.6680145263672,"Via Giacomo Matteotti, 37",Nettuno,Pubblici
Comune,42.1561965942383,11.9016990661621,"Piazza della Repubblica, 39",Allumiere,Pubblici
"Comune di Montelanico - Stazione dei Pompieri",41.6488148307356,13.038658180951,"Viale Roma",Montelanico,
"Biblioteca ",41.8597098941458,13.0333204999999,"Via Roma, 38","Olevano Romano",Pubblici
"Centro per l'Impiego Colleferro ",41.7438613,13.0019981,"Via Casilina km 52,200",Colleferro,Pubblici
"Scuola elementare ""Landi""",41.7088813781738,12.6865835189819,"via Fausto Gullo, 2","Genzano di Roma",Pubblici
"Anagrafe ",42.0924987792969,11.7956809997559,"Piazzale Santarelli",Civitavecchia,Pubblici
"Comune - Sala Pucci ",42.0873489379883,11.7980651855469,"p.za P. Guglielmotti 7",Civitavecchia,Pubblici
"Palazzo del museo",42.2578735351562,12.5706157684326,"Via XX settembre","Ponzano Romano",Pubblici
,42.1621017456055,12.7865962982178,"Corso Umberto I",Nerola,Pubblici
"Ristorante ""Bel Poggio""",41.9907188415527,12.5211496353149,"Via Del Monte di Casa, 36",Roma,Privati
"Centro Sportivo Ippolife",42.0420875549316,12.6385307312012,"Via dei Cannetacci, 50",Mentana,Pubblici
"Pizzeria Le Tre P",41.8817672729492,12.5211982727051,"via Gaspare Ambrosini 47",Roma,Privati
"S.D. Sporting Club Tuscolano",41.8625869750977,12.5711708068848,"Via Filomusi Guelfi, 38",Roma,Pubblici
"Centro Regionale S. Alessio",41.8565292358398,12.5007257461548,"Viale C. Tommaso Odescalchi, 38",Roma,Pubblici
Comune,41.9109001159668,13.0242967605591,"Via Padre Pellegrino Ernetti, 9","Rocca Santo Stefano",Pubblici
Comune,41.9337272644043,12.9940872192383,"Piazza degli Eroi",Gerano,Pubblici
"Chiesa di Santa Apollaria",41.8481903076172,12.8053178787231,"via di Santa Apollaria",Zagarolo,Pubblici
Biblioteca,41.6926498413086,13.0223350524902,"Via dellaPretura, 1",Segni,Pubblici
Comune,41.7282600402832,12.6588954925537,"Piazza Fagiolo","Albano Laziale",Pubblici
Municipio,42.1032028198242,12.175838470459,"Piazza IV Novembre",Bracciano,Pubblici
"Asilo nido Piccoli artisti",42.0175628662109,12.341215133667,"Via Alberto Tallone",Roma,Pubblici
