Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Auditorium della Musica",41.9292460218154,12.4748430252075,"Viale Pietro De Coubertin, 30, ",Roma,Privati
"Porta Futuro - Macro",41.8768196105957,12.4740791320801,"Via Galvani, 108",Roma,Pubblici
"Porta Futuro",41.876895904541,12.4737358093262,"Via Beniamino Frenklin, 8",Roma,Pubblici
"Centro per L'impiego",41.9961059,12.7261555,"Giuliano Montelucci, 9","Guidonia Montecelio",Pubblici
Bocciodromo,41.7722244262695,12.6131296157837,"Via Appia Nuova Vecchia Sede",Marino,Pubblici
"Istituto d'arte ""Roma 2""",41.8206950881888,12.9304191976395,"Via Giulio Venzi, 21",Cave,Pubblici
"Antico Bar Dell'Orso",41.9018728,12.4734399,"Via Dell'Orso,30",Roma,Privati
"Biblioteca Comunale",41.7571877500888,12.7072021275085,"Viale Enrico Ferri, 67","Rocca di Papa",
"Mercato Comunale - Bottega del Vino",41.7309620111574,13.0060313911545,"Via Sobrero",Colleferro,Privati
"Accademia Nazionale di Danza",41.8844546095779,12.4839435160775,"Largo Arrigo VII, 5 ",Roma,Pubblici
"San Filippo Neri",41.9469818052231,12.4154184417162,"Via Martinotti, 20",Roma,Pubblici
"Hotel Giamaica",41.9034497091552,12.5025082490911,"Via Magenta, 13",Roma,Privati
"Istituto ""Pasteur""",41.9421395,12.4110204,"Via G. Barellai, 130",Roma,Pubblici
"Centro Anziani Colle Di Mezzo - Parco",41.8240623829459,12.4915687829422,"Via Alfonso di Legge, 39",Roma,Pubblici
"Policlinico Umberto I - Farmacia Centrale",41.906312065566,12.5133230985641,"Viale del Policlinico, 155",Roma,Pubblici
"Centro Anziani Colle Di Mezzo",41.8238411940942,12.4916324854063,"Via Alfonso di Legge, 39",Roma,Pubblici
"Istituto Cavour",41.8925688,12.4908898,"Via delle Carine, 2",Roma,Pubblici
"Centro Sociale Anziani",42.0826713,12.6078791,"Via Salaria, 5",Mentana,Pubblici
"Istituto ""Giovanni Falcone"" (Succursale Istituto S. Pertini Via Lentini)",41.8650567234398,12.578881369381,"Via Rugantino, 108",Roma,Pubblici
"Palestra Arte e Spettacolo",41.7770041257711,12.4366446239426,"Largo Lido Duranti, 2",Roma,Privati
"Consorzio Turistico Mare di Roma",41.5677658,12.5396922,"Viale Po, 4",Ardea,Privati
"Poliambulatorio - Ospedale Spallanzani",41.865204855403,12.4570113399506,"Via Portuense, 292",Roma,Pubblici
"Spazio Articolo Nove",41.8404374147906,12.8918467196087,"Via Barberini, 24",Palestrina,Pubblici
"Parco Fonte Egeria",41.8549430041776,12.5313137135265,"Via dell'almone 105",Roma,Pubblici
"Studio Tecnico",41.8390122780499,12.892775290738,"Via Thomas Mann, 2",Palestrina,Pubblici
"Istituto ""Via Pedemontana"" (succursale)",41.8217257838501,12.9292324608521,"Via Giulio Venzi, 11",Cave,Pubblici
Municipio,42.0306653,11.8445518,"Lungomare Guglielmo Marconi, 101","Santa Marinella",Pubblici
"Museo Arte Civica e Contemporanea",42.0102762,12.9902314999999,"Piazza Santa Maria, 2","Anticoli Corrado",Pubblici
"Biblioteca di Archeologia e Storia dell'Arte",41.8962277916557,12.4817820410699,"Piazza Venezia, 3",Roma,Pubblici
"Parcheggio Via Silvio Spaventa",41.7629514298942,12.7049743441803,"Via Silvio Spaventa","Rocca di Papa",Pubblici
,41.8987969,12.5129701,"Via dei Luceri",Roma,
"Club Le Rughe",42.0631154,12.3731264,"Viale Africa, 10",Formello,
"Centro Anziani Passo Scuro",41.9032834306303,12.1586326722138,"Via dei Serrenti 95",Fiumicino,
"Centro Anziani Toscanelli",41.7312561,12.2718509,"Lungomare Toscanelli 180",Roma,
"Centro Anziani Rignano Flaminio",42.2074408,12.4839663,"Via Degli Orti 2b","Rignano Flaminio",Privati
"Centro Anziani Vasca Navale",41.8568811,12.4689844,"Via della Vasca Navale, 105",Roma,
"Centro Anziani Testaccio",41.8764125326855,12.4736326464691,"Piazza Orazio Giustiniani 4","Roma ",Pubblici
"Centro Anziani Fabio Di Lorenzo ",41.9109597,12.5259063999999,"Via Boemondo 7a",Roma,Pubblici
"1° Reggimento Scuola Marescialli e Brigadieri dei Carabinieri",41.6771072549079,12.7754214722138,"Viale Salvo d'Acquisto 2","Velletri ",
"Guardia di Finanza",41.6771251858133,12.4536547089843,"Via Pratica di Mare 45","Pomezia ",Pubblici
"Città Metropolitana di Roma Capitale",41.9110120157812,12.5497893300247,"Via Tiburtina 691","Roma ",Pubblici
"Villa Altieri",41.8908983333968,12.5075099526703,"Viale Manzoni 47","Roma ",Pubblici
"Biblioteca comunale",42.1439722634972,12.5068220588607,"Piazza Armando Diaz, 24",Morlupo,
"Istituto comprensivo Giovanni XXIII (Località La Botte)",41.9829353,12.7663085,"Piazza Colle Grato","Guidonia Montecelio",
"Segreteria Studenti",41.8615245691236,12.4792054822784,"Via Ostiense, 175","Roma ",
"Centro Anziani Colleferro",41.7329020323066,13.0088431226845,"Piazza Mazzini, 12",Colleferro,Pubblici
"Centro Anziani",41.790686902362,12.7634373149679,"Via Fontana Maggiore, 53","Rocca Priora ",Pubblici
"Istituto ""Benedetto Croce""",41.9154802790784,12.5711235300594,"via Battista Bardanzellu, 7",Roma,Pubblici
"Centro Socio-culturale ""Narciso 2.0""",41.7882752043831,12.766717181684,"Via Fontana Maggiore, snc","Rocca Priora",Pubblici
"Istituto ""Giuseppe Peano""",41.8292303775415,12.4974894477463,"Via Francesco Morandini, 38",Roma,Pubblici
Municipio,42.003969838934,12.9525972159386,"Piazza Roma, 3",Saracinesco,Pubblici
"Lido del Carabiniere di Focene",41.8196118,12.209524,"Lungomare Gioacchino Rossini, 5",Fiumicino,Privati
"Punto Informazioni Turistiche",41.6915568201601,13.021875108633,"Piazza Cesare Battisti",Segni,Pubblici
"Istituto ""Apicio III"" (sede succursale)",41.4997541861454,12.6048723030758,"Via delle bouganvillae, 7",Anzio,Pubblici
"Biblioteca comunale ",41.8060816,12.6802259999999,"Piazza Marconi, 3",Frascati,Pubblici
"Centro Formazione Professionale Acilia",41.785953847221,12.353934683606,"Via Andrea da Garessio, 109",Roma,Pubblici
"Ufficio relazioni con il pubblico e Centro Linguistico di Ateneo",41.865399722678,12.4799713706391,"Via Ostiense, 131 L","Roma ",
"Dipartimento di Architettura",41.8768769713975,12.4721230898454,"Largo Giovanni Battista Marzi 10","Roma ",
"Dipartimento di Architettura",41.9028320234704,12.4964510404754,"Piazza della Repubblica 10","Roma ",
"Dipartimento di Economia",41.8510983,12.4806236148194,"Via Silvio d'Amico 77","Roma ",
"Dipartimento di Giurisprudenza",41.8624087521747,12.4790616398811,"Via Ostiense, 161",Roma,
"Dipartimento di Ingegneria",41.8543585696373,12.4681038640015,"Via Vito Volterra 62",Roma,
"Dipartimento Matematica e Fisica",41.855887117015,12.4668916042298,"Via della vasca navale 84",Roma,
"Dipartimento Scienze della Formazione",41.9014599635381,12.5049849570083,"Via Castro Pretorio 20","Roma ",
"Dipartimento Scienze della Formazione",41.9002445,12.500612,"Via Daniele Manin 53",Roma,
"Dipartimenti Studi Umanistici",41.8509781689732,12.4754820454773,"Via Ostiense ","Roma ",
"Universita' degli Studi di Roma Tor Vergata - Centro Calcolo e Documentazione",41.8501738572507,12.5978604067459,"Via Orazio Raimondo, 18",Roma,Pubblici
"Rettorato e Amministrazione centrale",41.8495333,12.5978165558197,"Via Orazio Raimondo 18","Roma ",
"Facoltà di Economia",41.8531969227206,12.6245705,"Via Columbia, 2","Roma ",
"Facoltà di Giurisprudenza",41.848891767514,12.5975036406921,"Via Bernardino Alimena, 5","Roma ",
"Facoltà di Ingegneria",41.8553894721688,12.6218859074402,"Via del Politecnico, 1","Roma ",
"Facoltà di Lettere e Filosofia",41.8520073478886,12.6216095375428,"Via Columbia, 1","Roma ",
"Facoltà di Medicina e Chirurgia",41.8567441964555,12.6332113473602,"Via Montpellier, 1","Roma ",
"Facoltà di Scienze Matematiche Fisiche e Naturali",41.8537004320534,12.6042812857056,"Via della Ricerca Scientifica, 1","Roma ",
"Farmacia Igea",41.9339355945393,12.4401164269836,"Largo Cervinia, 23",Roma,Privati
"Biblioteca Comunale",41.6514137937721,13.0402961472387,"Via Corte Vecchia, 27",Montelanico,Pubblici
"Gelateria Ping Pong Ice",41.8950298033926,12.5609596055225,"Via Prenestina, 399",Roma,Privati
"Istituto ""Francesco Vivona""",41.8337413474823,12.4652032503319,"Via della Fisica,14",Roma,Pubblici
"Accademia San Luca",41.9014513131179,12.4837764858792,"Piazza Accademia di San Luca, 77",Roma,Pubblici
"Agriturismo Zugarelli",42.0680054370248,12.2739544814453,"Via comunale di San Francesco, 2590","Anguillara Sabazia",Privati
"Ospedale Santo Spirito",41.9002579796293,12.462517609787,"Lungotevere in Sassia, 1",Roma,
"Parrocchia ""San Giuseppe""",41.784216099595,12.7486417751327," Via Tuscolana Km 28,500","Rocca Priora",Pubblici
"Ospedale Santo Spirito",41.9001591632362,12.462506880951,"Lungotevere in Sassia, 1",Roma,
"Agriturismo Casale Trigoria",41.7541281761913,12.4748465600578,"Via Grotte Penseroni,14",Roma,Privati
"Ospedale Santo Spirito",41.9001309299529,12.4624156858445,"Lungotevere in Sassia, 1",Roma,
"IFO Istituti Fisioterapici Ospitalieri",41.8021111770851,12.4510074121948,"Via Elio Chianesi, 10",Roma,Pubblici
"Biblioteca Comunale",42.2045255926563,12.3996917946457,"Piazza Giovanni XXIII","Mazzano Romano",Pubblici
"Biblioteca Comunale",41.7947088586899,12.7632258558197,"Piazza Umberto I","Rocca Priora",Pubblici
"Comitato ""Insieme per via di Galla Placidia""",41.906913280354,12.5426539858445,"Via di Galla Placidia, 36",Roma,Pubblici
"IFO Istituti Fisioterapici Ospitalieri",41.802589843176,12.4519185672119,"Via Elio Chianesi, 53",Roma,Pubblici
Municipio,42.050361271225,12.963729378539,"Via Carlo Todini, 8","Cineto Romano",Pubblici
"Istituto ""Aristotele""(succursale)",41.8183069030251,12.4783867245369,"Via Comisso, 25",Roma,Pubblici
"Istituto ""Visconti""",41.8980491499842,12.4802779306365,"Piazza del Collegio Romano, 4",Roma,Pubblici
"Associazione sportiva ""La Ferratella""",41.8152130833139,12.4636366230011,"Via Salvore Quasimodo, 124",Roma,Privati
"Stabilimento balneare ""Il Pioniere""",41.4911188570727,12.5880011375732,"Passeggiata delle Sirene, 62",Anzio,Privati
"Piazza Cornelia, Centro Anziani ""Fogaccia""",41.9063332,12.3942463,"Piazza Cornelia, 86",Roma,Pubblici
"Stabilimento Balneare Sporting Beach",41.7062573786476,12.3365043819701,"Lungomare Amerigo Vespucci, 8 ",Roma,Pubblici
"Centro Anziani",41.9972107,12.4901643000001,"Viale Delle Galline Bianche, 105",Roma,Pubblici
"British School",41.7308838191831,12.2788639067459,"Via della Stazione Vecchia, 11A",Roma,Pubblici
"Parco Caffarella - Scuola Ada Negri",41.8697595960654,12.5215179079693,"Via Latina, 303",Roma,Pubblici
"Palazzo del Municipio",41.9301036550521,12.5186656632294,"Via Dire Daua, 11",Roma,Pubblici
"British School",41.730891825893,12.2787727116394,"Via della Stazione Vecchia, 11A",Roma,Pubblici
"Circolo Ricreativo Culturale",41.9147834,12.5613137,"Via del Frantoio, 9C",Roma,Pubblici
"CSA Via Carlo Avolio",41.7891371940961,12.443590880951,"Via Carlo Avolio, 60",Roma,Pubblici
"Giardini di Sant'Alessio",41.8816189242124,12.4818070883606,"Piazza di S. Alessio, 23",Roma,Pubblici
"Scuola ""Giuseppe Mazzini""",41.8919574447698,12.4913793662704,"Via delle Carine, 1",Roma,Pubblici
"Chiosco Bar area verde",41.8299736,12.4919602,"Via Duccio da buoninsegna, 115",Roma,Pubblici
"Scuola ""Pistelli Vaccari""",41.9193267252323,12.465598988955,"Via Monte Zebio, 35",Roma,Pubblici
"Bar Rosati",41.9169528717492,12.4603113029023,"via sabotino, 37",Roma,
"Scuola Bellingeri",41.935187224787,12.4177222000001,"Via andrea Verga, 2",Roma,Pubblici
"Parco dell'Isola Farnese",42.019055905814,12.3942056459202,"Via dell' isola farnese",Roma,Pubblici
"Delegazione di Cerenova",41.9819659847639,12.0540713141002,"Viale campo di mare",Cerveteri,
"Parrocchia Santi XII Apostoli",41.8976657,12.4830567,"Piazza Santi Apostoli","Roma ",Pubblici
"Parco Caffarella - Scuola Ada Negri",41.8694044472474,12.5218143643791,"Via Latina, 303",Roma,Pubblici
"Vigili del Fuoco capannelle",41.828185176036,12.5611429983949,"Piazza Scilla, 2",Roma,Pubblici
"Parco Ceribelli - centro anziani ""Casale Ceribelli""",41.8464135623304,12.4873144486878,"Viale Pico della Mirandola, 36",Roma,Pubblici
"Scuola dell' infanzia Fabio Montagna",41.9098646,12.6027048,"Via Federico Turano, 30",Roma,Pubblici
"Centro anziani Largo Spartaco",41.8594402,12.5527254,"Largo Spartaco, 13",Roma,
"Centro anziani ""La Romanina""",41.8470372204356,12.599375238623,"via giuseppe gregoraci, 140",Roma,
"Centro anziani ""Capasso""",41.8771841,12.4294608,"Via dei Capasso snc",Roma,
"Casa di riposo ""Bruno Buozzi""",41.8635104933433,12.5848425396729,"via di torrespaccata, 157",Roma,
"Oasi Verde - Dolce e Salato",41.9142136,12.5778401,"Viale Battista Bardanzellu, 136",Roma,Pubblici
"Centro Gamel",41.7400154,12.2805276,"Via delle Baleniere, 205",Roma,
"Vigili del Fuoco Capannelle",41.8266502,12.5635248,"Piazza Scilla, 2",Roma,Pubblici
"Vigili del Fuoco Capannelle",41.8276895107144,12.5609284216737,"Piazza Scilla, 2",Roma,Pubblici
"Villa Gordiani",41.8940871546642,12.5538946116394,"Via Prenestina, 351",Roma,Pubblici
"Villa Gordiani",41.8940392366306,12.5541091883606,"Via Prenestina, 351",Roma,Pubblici
"Oasi Verde - Dolce e Salato",41.914093842605,12.5771856410004,"Viale Battista Bardanzellu, 136",Roma,Pubblici
"Centro Anziani ""Lo Scariolante"" - Giardino Filippo Iaia",41.760042,12.3026767,"Piazza Gregoriopoli, 2",Roma,Pubblici
"Centro Anziani ""Lo Scariolante"" - Parco dei Ravennati",41.760042,12.3026659711639,"Piazza Gregoriopoli, 2",Roma,Pubblici
"Comitato di quartiere ""La Rustica""",41.9146910925521,12.6094909761963,"Via Dameta, 18",Roma,Pubblici
"Parco XXV Novembre 1884",41.7292269114147,12.2842755042298,"Via Pietro Rosa, 2",Roma,Pubblici
"Villa Lais",41.8759410277794,12.5303282607306,"Piazza Giovanni Cagliero, 20",Roma,
"Villa Lais",41.8759859636641,12.5316700357903,"Piazza Giovanni Cagliero, 20",Roma,Pubblici
"Parco Fabio Montagna",41.9107588423734,12.60199669682,"Via Federico Turano",Roma,Pubblici
"Centro sportivo Uisproma Work in Progress Centro Sportivo Bernardini",41.9205833157759,12.5564030915405,"Via Acqua Marcia, 51",Roma,Pubblici
"Rebibbia (Casa Circondariale Nuovo Complesso)",41.9306946,12.5739098232788,"Via Raffaele Majetti, 70",Roma,Pubblici
"Abbigliamento Cenci",41.8993372856799,12.4769581521149,"Piazza Della Rotonda, 77",Roma,Pubblici
"Rebibbia (Casa Circondariale Nuovo Complesso)",41.9306946,12.5741244,"Via Raffaele Majetti, 70",Roma,Pubblici
"Parco Villa De Sanctis - Centro sportivo Villa de Sanctis	",41.8779227463739,12.5522614367707,"Via dei Gordiani, 5",Roma,Pubblici
"Bar Free Holidays (Eden Bar)",41.8925014,12.5496423,"Viale Irpinia, 27",Roma,Pubblici
"Liceo Renzo Levi",41.8931730190575,12.4768434846384,"Via del Portico d'Ottavia, 73",Roma,Pubblici
"Ducati Caffè",41.8949025,12.4775334999999,"Via delle Botteghe Oscure, 35",Roma,Pubblici
"Scuola Mazzini",41.89200803147,12.4913004092448,"Via delle Carine, 2",Roma,Pubblici
"Libreria Kiryat Sefer",41.8918819,12.4774726000001,"Via del Tempio, 2",Roma,
"Scuola Media Wincklmann",41.9212453116305,12.5229789177736,"Piazza Winckelmann, 20",Roma,Pubblici
"Sede Municipio - politica",41.9354711794998,12.5345638201857,"Piazza Sempione, 15",Roma,Pubblici
"Sede Municipio - politica",41.9354173066524,12.5346724496508,"Piazza Sempione, 15",Roma,Pubblici
"scuola media G.B.Vico",41.9579933886581,12.5174646538632,"Piazza Filattiera, 84",Roma,Pubblici
"Villa Lazzaroni, sede Municipio",41.8701940507094,12.5231768575853,"Via Fortifiocca, 71",Roma,Pubblici
"Centro Anziani Villa Lazzaroni",41.8723660422372,12.5232945999826,"Via Appia Nuova, 522",Roma,Pubblici
"Sede Municipio IV",41.9869170062064,12.5642261368113,"via Flavio Andò, 12",Roma,Pubblici
"Sede Municipio IV",41.9666901,12.5216872999999,"Via Flavio Andò, 12",Roma,Pubblici
"Parco dell'UNRRA CASAS",41.9431242,12.584758,"Via San Benedetto del Tronto, 4",Roma,Pubblici
"Scuola ""120° circolo Mahatma Gandhi""",41.9378372478453,12.5853353846558,"Via Corinaldo, 41",Roma,Pubblici
"Municipio Roma V",41.8909072,12.5490368000001,"Via Torre Annunziata, 1",Roma,Pubblici
"CSA Quarticciolo",41.8891465093698,12.5789591116394,"Via Locorotondo, 31",Roma,Pubblici
"Scuola 184° Oscar Romero (non esiste più con questo nome)",41.8867306071688,12.6200819404928,"Via Calimera, 133",Roma,Pubblici
",I.S.S. E. Amaldi",41.8660146241393,12.6309188234393,"Via Domenico Parasacchi, 21",Roma,Pubblici
"I.S.S. E. Amaldi",41.8659382211993,12.6309831964556,"Via Domenico Parasacchi, 21",Roma,Pubblici
"Parco delle Valli - Mercatino delle valli",41.9388458187636,12.5255971153442,"Via Conca D'Oro, 143",Roma,
" Ristorante Lievito Madre",41.8513930755413,12.5600428263893,"Via Lemonia, 214",Roma,Pubblici
" Ristorante Lievito Madre",41.8513091629284,12.5600790362111,"Via Lemonia, 214",Roma,Pubblici
"Parco Fabio Montagna",41.9110622431896,12.6033485301635,"Via Federico Turano",Roma,Pubblici
"Centro Anziani Cinecittà Est",41.8511710580151,12.5947694504014,"Largo Zappalà, 2",Roma,Pubblici
"Mercatino delle valli ",41.9389096646268,12.5258546074097,"Via Conca D'Oro, 143",Roma,
"Fioraio Marco e Daniela",41.8596781147099,12.5647871577762,"Piazza S. Giovanni Bosco, 32",Roma,Pubblici
"Centro Anziani Nino Manfredi",41.8915032226569,12.5678073367707,"Via Emilio Chiovenda",Roma,Pubblici
"Batti il tuo Tempo",41.8534470470193,12.5701568105028,"Piazza di Cinecittà, 11",Roma,Pubblici
"Parco di Colli D'oro",41.9949391983561,12.4789078560974,"Via Valbondione",Roma,Pubblici
"Centro commerciale Cinecittà 2",41.8536900494999,12.5719373663005,"Via Palmiro Togliatti, 2",Roma,Pubblici
"Parco di Colli D'oro",41.9949870406166,12.478650364032,"Via Valbondione",Roma,Pubblici
"Scuola Bernardino Mastroianni",41.9168158495245,12.3532501914017,"Via Ponzone, 23",Roma,Pubblici
"
Bar Meeting",41.8322615,12.5821432,"Via Enzo Benedetto, 36",Roma,Pubblici
"succursale San Benedetto (ex Catullo)",41.8840304682111,12.5694150147152,"Via dei Faggi, 151",Roma,Pubblici
"Scuola di Musica Musicalmente",41.911978755878,12.5502924779272,"Via Tiburtina, 695",Roma,Pubblici
"Ufficio Anagrafico San Vittorino",41.913861951593,12.7893323932541,"via San Vittorino, 305",Roma,
"Bar Rosati",41.9100656179541,12.4761942915405,"Piazza del Popolo, 4",Roma,Pubblici
"Istituto Comprensivo Villaggio Comprensivo",41.9089024175827,12.6813153478852,"Via Del Fosso Dell'Osa, 505",Roma,Pubblici
"Centro Commerciale ""I Granai""",41.8369685261117,12.5032364134918,"via Mario Rigamonti, 100",Roma,
"Centro Commerciale ""I Granai""",41.8370005,12.5031398539672,"via Mario Rigamonti 100",Roma,Pubblici
"Centro Commerciale ""I Granai""",41.8370164869381,12.5034402613769,"via Mario Rigamonti 100",Roma,
"Sede Municipio Roma XI",41.8412910565587,12.4839577269836,"via Benedetto Croce 50",Roma,
"Sede Municipio Roma XI",41.841219120111,12.4838182521148,"via Benedetto Croce, 50",Roma,Pubblici
"Parco Caduti del Mare",41.8646876,12.4841235883432,"via Pullino, 71 ",Roma,Pubblici
"Centro commerciale Naturale, via Fonte Buono 111-113, Bar Halley",41.8482036167967,12.4864870834671,"via Fonte Buono, 111",Roma,
"S. M. della Pietà, Uff. Tecnico del Comune",41.9407227707541,12.4190684134918,"Piazza Santa Maria della Pietà 5",Roma,
"Scuola Paolo Stefanelli",41.9396284,12.4284905269836,"Via Giuseppe Taverna, 97",Roma,Pubblici
"Batti il tuo Tempo",41.8535543042956,12.5699093767212,"Piazza di Cinecittà, 11",Roma,Pubblici
" Museo di Archeologia per Roma",41.8526265,12.6187645,"Via Columbia ","Roma ",
"Ditta F.lli Colaiacomo",41.6529821,13.0395583,"Viale Roma",Montelanico,Pubblici
"Piazza Salvo D'Acquisto",41.9028513466197,12.1576912061325,"via serrenti 95",Fiumicino,Pubblici
"Istituto ""Mameli""(succursale)",41.9228726892939,12.4826279558197,"Via Pietro Antonio Micheli, 29",Roma,Pubblici
"Istituto superiore per la conservazione ed il restauro",41.8845603548083,12.4747920552254,"Via di San Michele, 23",Roma,Pubblici
Comune,41.8825301041647,12.9814610513733,"Via Santa Maria de Mattias","San Vito Romano",Pubblici
"Scuola Primaria",41.8057466,12.7379307,"Via Alfredo Seranti, 9",Montecompatri,Pubblici
"I.C. Monte Compatri (Frazione Laghetto) - Scuola secondaria di I° Grado",41.8477886603526,12.7345929504822,"Piazza Lago Regillo",Montecompatri,Pubblici
Parrocchia,42.0097567140719,12.9888700380288,"Piazza delle ville","Anticoli Corrado",Pubblici
"Istituto ""Caetani"" (succursale)",41.9353984,12.4640904,"Lungotevere Maresciallo Diaz, 20",Roma,
Municipio,41.9860312668745,12.661160421875,"Via Macchiavelli, 1 ","Fonte Nuova",
"Scuola dell'infanzia Molara",41.790118006133,12.7302620846558,"Via della Molara, 29",Montecompatri,Pubblici
"Scuola elementare e medie",42.1589513660083,12.4368314748688,"Via Romana, 29","Magliano Romano",Pubblici
Ostello,42.011000649838,12.9878467655373,"Via Olivella, 38","Anticoli Corrado",Pubblici
"Sporting Club Paradise",41.8349233357499,12.5724238629516,"Via delle Capannelle, 134",Roma,Privati
"Municipio - Polizia Municipale",42.0355918900674,12.6391078193741,"Piazza F. Zeri, 1",Mentana,Pubblici
Municipio,42.0948036728802,12.9087192935707,"Via Attorno Palazzo Borghese, 8",Percile,Pubblici
Municipio,41.9081830269985,12.9591461484795,"Piazza Municipio, 6",Pisoniano,Pubblici
"Edicola Quice",42.1380405516696,12.8074387202378,"Via della fontana, 42","Montorio Romano",Privati
"Scuola Media ",41.8055460078119,12.7385525042992,"Via Giovanni Felici, 14",Montecompatri,Pubblici
"Circolo Montecitorio A.S.D.",41.9337288194845,12.4890030435165,"Via dei Campi Sportivi, 5",Roma,Privati
"Circolo Montecitorio A.S.D.",41.9338806903435,12.4889628103813,"Via dei Campi Sportivi, 5",Roma,Privati
"Caserma Carabinieri ""Salvo D' Acquisto""",41.9468042488171,12.4813379427528,"Viale Tor di quinto, 119",Roma,Pubblici
"Biblioteca di Archeologia e Storia dell'Arte",41.8961219297911,12.4819184773155,"Piazza Venezia, 3",Roma,Pubblici
"Istituto ""Armando Diaz""",41.8875541192711,12.5202074752779,"Via Acireale, 8",Roma,Pubblici
"Palazzo Valentini",41.896362271753,12.4838570820007,"Via IV Novembre",Roma,Pubblici
"Istituto ""Leonardo Da Vinci - ",41.8939091249852,12.4905224048935,"Via Cavour, 258",Roma,Pubblici
"Istituto ""C. Colombo""",41.8962354876426,12.4901244504013,"Via Panisperna, 255",Roma,Pubblici
"Istituto ""Cattaneo"" succursale",41.8975076779413,12.4703766906075,"Corso Vittorio Emanuele, 217",Roma,Pubblici
"Istituto ""Virgilio"" succursale",41.8975276024364,12.4704485966975,"Corso Vittorio Emanuele, 217",Roma,Pubblici
"Istituto ""Socrate""",41.8656951,12.4931087,"Via Padre Reginaldo Giuliani, 15",Roma,Pubblici
"Istituto ""Roberto Rossellini""",41.8633088,12.4802342,"Via Libetta, 14",Roma,Pubblici
"Istituto ""CPIA 4 - IST. VIA CAVOUR EX LEONARDO DA VINCI""",41.9056958,12.5033496999999,"Via Palestro, 38",Roma,Pubblici
"Istituto ""Plinio Seniore""",41.9045979,12.4988501,"Via Montebello, 122",Roma,Pubblici
"Istituto ""Farnesina""",41.9410942787922,12.4743934264122,"Via Bartolomeo Gosio, 90",Roma,Pubblici
"Istituto ""Via delle Sette Chiese sede Rousseau""",41.8592215,12.5040845999999,"Via delle Sette Chiese, 259",Roma,Pubblici
"Istituto ""Edmondo De Amicis""",41.8776098,12.4763905,"Via Galvani, 6",Roma,Pubblici
"Ufficio Turistico",42.1371314503187,12.1026461413865,"Piazza Tubingen","Canale Monterano",Pubblici
"Istituto ""Virgilio""",41.8961761,12.4681855,"Via Giulia, 38",Roma,Pubblici
"Istituto ""Mamiani""",41.912616,12.4631730999999,"Viale delle Milizie, 30",Roma,Pubblici
"Istituto ""Alighieri""",41.9075917,12.4696590999999,"Via Ennio Quirino Visconti, 13",Roma,Pubblici
"Istituto ""Machiavelli""",41.8975253493351,12.5163931846557,"Via dei Sabelli, 86",Roma,Pubblici
"Istituto ""Montessori""",41.9135831,12.4955211,"Via Livenza, 8",Roma,Pubblici
"Istituto ""Pascal""",41.9362882463331,12.4644711185242,"Via dei Robilant, 2",Roma,Pubblici
Municipio,41.8082686701352,12.7371139220902,"Piazza del Mercato, 1",MonteCompatri,Pubblici
"Centro Anziani Quarto Miglio",41.8448043234571,12.5472766631947,"Via al quarto miglio,39",Roma,Pubblici
"Scuola Militare di Equitazione",42.1340481312146,12.7419006306884,SP26a,Montelibretti,
"Centro Militare di Equitazione",42.1339806,12.7419566,SP26a,Montelibretti,
"Centro Per l'Impiego",41.9153379,12.4040336,"Via Decio Azzolino, 7",Roma,
"Centro Anziani",41.8129048,12.4780962,"Via Enrico Pea, 20",Roma,Pubblici
"Associazione Culturale Casale Caletto",41.9190433796262,12.6040281627045,"Via di Cervara, 200",Roma,Pubblici
"Ufficio Tributi",41.5719237,12.5387756,"Largo Nuova California",Ardea,Pubblici
"Istituto ""Labriola""",41.7412027,12.2880726,"Via Capo Sperone, 50",Roma,
"Scuola Elementare Cristoforo Colombo",41.7299430717454,12.8249972331353,"Piazza Martiri Della Libertà, 1",Lariano,
"Castello Rocca di Cave",41.847028093462,12.945633,"Piazza della Torre","Rocca di Cave",
"Istituto Comprensivo",41.9607763,12.9392665,"Via Santa Liberata, 1",Ciciliano,
Comune,42.0188231,13.1079157,"Piazza Roma, 6","Camerata Nuova",
"Gay Center",41.8770814,12.4761667,"Via Nicola Zabaglia, 14",Roma,
"Cinema Adriano - via Cicerone",41.9060418678229,12.4694612312134,"Piazza Cavour, 22",Roma,
"Scuola Media Statale",42.1955651,12.5784377,"Via Aldo moro, 4","Civitella San Paolo",Pubblici
Municipio,41.8341723,12.7508823000001,"Piazza Vittorio Emanuele II",Colonna,
"Centro per l'Impiego Roma Ostia ",41.7394911,12.2540822999999,"Via Domenico Baffigo, 145",Roma,
"Parco regionale Appia Antica - Ex Cartiera",41.8678986326073,12.5013311408616,"Via Appia Antica, 42",Roma,Pubblici
"Centro Anziani",41.8820569,12.9796303000001,"Borgo Mario Tehodoli 	26","San Vito Romano",
"Istituto ""Isabella D' Este""",41.9616993493585,12.801430285389,"Largo Giovanna Baja, 9",Tivoli,Pubblici
"Scuola Quartararo, Via Portuense, 1491/93",41.8170865,12.3426965,"Via Portuense, 1491",Roma,
"Roma - Sede Municipio VIII",41.8609165374839,12.4861940619712,"Largo delle Sette Chiese, 23",Roma,
"Villa Torlonia - Propileo",41.9163538246214,12.5114226508915,"Via Nomentana, 68",Roma,
